cell,group in,nuclide,mean,std. dev.
4,1,total,0.5429580172617346,0.005424417405696286
4,2,total,0.5686934814143878,0.00416795624283447
4,3,total,0.5769306295906398,0.005581826127668696
4,4,total,0.5647951725972071,0.004151927430922988
4,5,total,0.5765879031874589,0.005292292981064304
4,6,total,0.5580597877557734,0.0035445286597255974
4,7,total,0.49802479509174,0.003698131357885049
4,8,total,0.3645733687947794,0.005962653495160549
4,9,total,0.5437593184817178,0.006265109161043732
4,10,total,0.5714284514614738,0.004009758603068168
4,11,total,0.588066291750742,0.004683196332662492
4,12,total,0.5784936359033003,0.0038147076908347953
4,13,total,0.5909035894253197,0.004746648633224154
4,14,total,0.5955438826666556,0.0061119751948402485
4,15,total,0.5951174535579059,0.006632144399275439
4,16,total,0.6025060113360711,0.004239042634457614
4,17,total,0.6119419993338102,0.004479550488776432
4,18,total,0.615873209721377,0.006104259869679928
4,19,total,0.6088895516901766,0.006143211777415969
4,20,total,0.6206672318398452,0.005510364361204106
4,21,total,0.6332964855395129,0.005876566977046607
4,22,total,0.6442192248513618,0.006503104190700636
4,23,total,0.6663663152034239,0.003420324789781111
4,24,total,0.6921933733305916,0.006237587866881253
4,25,total,0.7096865561023993,0.006458103683914145
4,26,total,0.7339909565285946,0.0058598745023375805
4,27,total,0.7566658119012893,0.0065849699392885475
4,28,total,0.8201842270603162,0.004360945063368067
4,29,total,0.8929917245789359,0.006737726768544097
4,30,total,0.9404537634346648,0.005979990866600846
4,31,total,1.0540981026395497,0.0034367565096845437
4,32,total,1.2950161110667366,0.0029130799732622567
4,33,total,1.4693958548601183,0.005359387368363941
4,34,total,1.6284518758917175,0.003801852991887488
4,35,total,1.819906381503952,0.004447337389019041
4,36,total,1.9992750179585197,0.003917566162915071
4,37,total,2.2853344578502517,0.0038850586513070563
4,38,total,2.5631583687329265,0.006780943563178875
4,39,total,2.809607927108509,0.005504250345085094
4,40,total,3.0496374543456843,0.007347231302515149
4,41,total,3.180501124909066,0.009797502538784385
4,42,total,3.5477610122463714,0.006467332016830255
4,43,total,3.9524407509018706,0.012926597879219669
4,44,total,4.225218447893509,0.009864649558652306
4,45,total,4.577001096696378,0.011519687913961876
4,46,total,4.823781724297057,0.014003049312868665
4,47,total,5.104965252889304,0.014759031641470244
4,48,total,5.347308182828618,0.03060555992159568
4,49,total,5.588208970262302,0.019987306509616824
4,50,total,5.836990383181723,0.06026203536066183
4,51,total,6.072525165480051,0.025289428495607016
4,52,total,6.4394113608140335,0.06553954414744302
4,53,total,6.701951162373138,0.045509916961034264
4,54,total,6.983295572835394,0.14708733963487985
4,55,total,7.201933501408382,0.09058107097486714
4,56,total,7.5146251449523875,0.09593510924892125
4,57,total,7.903285713144227,0.1408295612655724
4,58,total,8.174238380368857,0.12582816285060994
4,59,total,8.638316659184387,0.20228438488090278
4,60,total,9.24325801497791,0.1616440298848188
4,61,total,10.269247769483133,0.29696243796650357
4,62,total,11.161084552523278,0.370076576557589
4,63,total,12.556933240383202,0.41700263813903954
4,64,total,14.37091177109168,0.48150061215759987
4,65,total,16.044837958509827,1.5061371376164674
4,66,total,17.57455990616795,0.8822429507021737
4,67,total,20.431393876215655,2.027244200869352
4,68,total,23.42124851238277,3.3076598619990896
4,69,total,23.55908923546651,2.6826825479249665
4,70,total,26.28707426695357,5.322795207336482
4,71,total,28.455501877600046,6.3415465272252565
4,72,total,27.426404682457523,7.773750505102106
4,73,total,29.49640008815317,6.711922968285682
4,74,total,31.902249463526736,6.464587316086877
4,75,total,32.24340241622017,7.246490717522692
4,76,total,34.343511742061764,9.26181155230463
4,77,total,32.58410376864681,9.433887904063438
4,78,total,37.43637546646086,14.551204564686998
4,79,total,41.76444803863289,11.19470261140906
4,80,total,41.47332413443886,11.649217261800857
4,81,total,46.67863309955777,11.181147088989238
4,82,total,49.581519596714664,20.923349294485778
4,83,total,46.054093062920224,21.34625348018887
4,84,total,44.01027601546193,43.21831636550033
4,85,total,52.55314781835245,54.79711914906279
4,86,total,72.34185325747225,69.7210839912411
4,87,total,67.76325209048618,37.412988986975456
4,88,total,47.781553736356585,28.99912071454605
4,89,total,53.03980105178955,46.732488943572434
4,90,total,70.04150029101277,65.26642400469176
4,91,total,60.68434368275838,35.52686017759785
4,92,total,0.6134351884296336,114.06645131776334
4,93,total,44.84843405159584,57.61891976530884
4,94,total,0.0,0.0
