cell,group in,group out,nuclide,mean,std. dev.
3,2,170,total,0.0,0.0
3,2,171,total,0.0,0.0
3,2,172,total,0.0,0.0
3,2,172,total,0.0,0.0
3,3,1,total,0.0,0.0
3,3,2,total,0.0,0.0
3,3,3,total,0.2111615413343633,0.004546744231490912
3,3,4,total,0.08533880140950352,0.0017387395026564393
3,3,5,total,0.0,0.0
3,3,6,total,0.0,0.0
3,3,7,total,0.0,0.0
3,3,8,total,0.0,0.0
3,3,9,total,0.0,0.0
3,3,10,total,0.0,0.0
3,3,11,total,0.0,0.0
3,3,12,total,0.0,0.0
3,3,13,total,0.0,0.0
3,3,14,total,0.0,0.0
3,3,15,total,0.0,0.0
3,3,16,total,0.0,0.0
3,3,17,total,0.0,0.0
3,3,18,total,0.0,0.0
3,3,19,total,0.0,0.0
3,3,20,total,0.0,0.0
3,3,21,total,0.0,0.0
3,3,22,total,0.0,0.0
3,3,23,total,0.0,0.0
3,3,24,total,0.0,0.0
3,3,25,total,0.0,0.0
3,3,26,total,0.0,0.0
3,3,27,total,0.0,0.0
3,3,28,total,0.0,0.0
3,3,29,total,0.0,0.0
3,3,30,total,0.0,0.0
3,3,31,total,0.0,0.0
3,3,32,total,0.0,0.0
3,3,33,total,0.0,0.0
3,3,34,total,0.0,0.0
3,3,35,total,0.0,0.0
3,3,36,total,0.0,0.0
3,3,37,total,0.0,0.0
3,3,38,total,0.0,0.0
3,3,39,total,0.0,0.0
3,3,40,total,0.0,0.0
3,3,41,total,0.0,0.0
3,3,42,total,0.0,0.0
3,3,43,total,0.0,0.0
3,3,44,total,0.0,0.0
3,3,45,total,0.0,0.0
3,3,46,total,0.0,0.0
3,3,47,total,0.0,0.0
3,3,48,total,0.0,0.0
3,3,49,total,0.0,0.0
3,3,50,total,0.0,0.0
3,3,51,total,0.0,0.0
3,3,52,total,0.0,0.0
3,3,53,total,0.0,0.0
3,3,54,total,0.0,0.0
3,3,55,total,0.0,0.0
3,3,56,total,0.0,0.0
3,3,57,total,0.0,0.0
3,3,58,total,0.0,0.0
3,3,59,total,0.0,0.0
3,3,60,total,0.0,0.0
