cell,group in,group out,nuclide,mean,std. dev.
4,1,156,total,0.0,0.0
4,1,158,total,0.0,0.0
4,1,159,total,0.0,0.0
4,1,160,total,0.0,0.0
4,1,161,total,0.0,0.0
4,1,162,total,0.0,0.0
4,1,163,total,0.0,0.0
4,1,164,total,0.0,0.0
4,1,165,total,0.0,0.0
4,1,166,total,0.0,0.0
4,1,167,total,0.0,0.0
4,1,168,total,0.0,0.0
4,1,169,total,0.0,0.0
4,1,170,total,0.0,0.0
4,1,171,total,0.0,0.0
4,1,172,total,0.0,0.0
4,1,172,total,0.0,0.0
4,2,1,total,1.7423885353488025e-05,6.641698470862408e-06
4,2,2,total,-0.1151335210795051,0.0010589231280373726
4,2,3,total,0.13048457343137956,0.0005653429629223552
4,2,4,total,0.2370461522724201,0.0008016584429286562
4,2,5,total,0.13736991212689964,0.0006595590137826404
4,2,6,total,0.15376578824453183,0.0006996958153461101
4,2,7,total,0.12708110782566495,0.0006257769156759668
4,2,8,total,0.05413310781239504,0.00037225148365757307
4,2,9,total,0.04965516927654864,0.0003972799942318445
4,2,10,total,0.08430256530195958,0.000549609978570086
4,2,11,total,0.06936448759223586,0.00043873262676801433
4,2,12,total,0.05611652676180043,0.000437563100802018
4,2,13,total,0.046083272779083584,0.0003267856463098661
4,2,14,total,0.02034529013108952,0.0002697214800924487
4,2,15,total,0.018591285672171724,0.00023026104951366587
4,2,16,total,0.0309186845597645,0.00026556155676999614
4,2,17,total,0.025642151278549876,0.0002876567479235285
4,2,18,total,0.011142574683555596,0.00018469570502888672
4,2,19,total,0.009931614651488176,0.00015706009308725163
4,2,20,total,0.009225947294671912,0.0001486583928587713
4,2,21,total,0.008003371339035502,0.00015164102222474173
4,2,22,total,0.0073848234089866766,0.00013376850580000551
4,2,23,total,0.0182631358313477,0.00020146412619730076
4,2,24,total,0.0050732546187572634,0.00011306483692160794
4,2,25,total,0.00432112356766503,0.00011459187211825354
4,2,26,total,0.004074285191823951,0.00010213869758142207
4,2,27,total,0.0037461353509999264,0.00011467334912681348
4,2,28,total,0.009077844269167263,0.00013680454802605352
4,2,29,total,0.002456767834841811,7.534430581591375e-05
4,2,30,total,0.0020792503188495712,6.130198563177364e-05
4,2,31,total,0.005595971179361904,0.0001326416928049391
4,2,32,total,0.004852552070946415,0.0001132084076701677
4,2,33,total,0.0009379858281961055,3.999655180597405e-05
4,2,34,total,0.0025409832807170036,8.582832842337273e-05
4,2,35,total,0.0012806555734813701,6.9677387343829e-05
4,2,36,total,0.0010744729301317613,5.275212379257555e-05
4,2,37,total,0.0011267445861922259,5.1333075307754496e-05
4,2,38,total,0.00030782197457828863,2.9864911458376832e-05
4,2,39,total,0.0005691802548806088,4.217667628203945e-05
4,2,40,total,0.0001481030255046483,2.3153427644787966e-05
4,2,41,total,0.00020618264334960838,2.099939444116849e-05
4,2,42,total,0.0005691802548806091,4.514811376724041e-05
4,2,43,total,8.711942676744014e-05,1.5423038480811898e-05
